Accession,Geo_Location,Collection_Date
MT503094,Thailand,4/7/20
MT503099,Thailand,3/14/20
MT457389,Italy: Palermo,3/1/20
MT450426,Iran,3/31/20
MT434818,Serbia,4/4/20
MT415370,China,2/6/20
MT415373,China,1/23/20
MT415374,China,2/9/20
MT415375,China,2/12/20
MT415376,China,2/15/20
MT415833,China,2/4/20
MT415840,China,2/2/20
MT359231,Serbia,4/1/20
MT344135,Nigeria,4/9/20
MT324681,Tunisia,3/29/20
MT324682,Tunisia,4/2/20
MT324683,Tunisia,4/3/20
MT232870,Iran,2/26/20
MT232871,Iran,2/26/20
MT232872,Iran,2/26/20
MT186676,Iran: Tehran,3/3/20
MT186677,Iran: Qum,2/9/20
MT186682,Iran: Tehran,2/28/20
MT163737,Iran,2/29/20
MT127115,Viet Nam,2/10/20
MT111895,Australia: Queensland,2/1/20
MT111896,Australia: Queensland,2/1/20
MT081065,China: HuaShang,1/30/20
MT081067,China: HuaShang,1/31/20
MT042777,China: Wuhan,1/1/20
MT050415,Australia,1/2/20
